what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349446089489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446302990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446431554
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349446470869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446482340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446668535
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349446668556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446672697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446682645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349446685850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446687945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446697772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349446700247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349446704225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446710887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446724299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349446727491
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349446730029
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349446730213
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349446733163
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349446733163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446735352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446811191
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349446811217
opened,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1349446811678
activated,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1349446811767
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349446820650
closed,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1349446820650
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349446823373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446833448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446844717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446847295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446849079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349446849088
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349446859869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446943985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446968238
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349446968253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349446974776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447040707
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349447040729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447043788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1349447043819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447052837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447057683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1349447057712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447059741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447072597
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1349447078790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447078952
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1349447078978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447079266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447754705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447759295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447766023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447812554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447823068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447827559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447830400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349447831622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448024157
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349448078917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448085757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448110147
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349448110166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448129133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448179294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1349448180058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448180363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448180474
closed,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1349448180482
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349448180516
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349448180577
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349448180594
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1349448180712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448196952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349448210501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1349448211348
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1349448226930
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349448231183
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349448237678
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1349448238048
