what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351524255522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351524255729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351524255921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351524256274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524257953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524261331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351524261812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524290667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524307278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524322218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524341853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524345723
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1351524346918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524363291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524405839
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1351524405864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1351524406673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1351524407034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1351524407439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1351524407803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1351524408287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1351524408746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524420037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524430759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524436966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524445269
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1351524447911
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1351524457701
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1351524463486
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1351524464594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524465108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524476317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524489157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524492002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524500451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524508385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524514207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351524516056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1351524520085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351524520776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351524522997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1351524523137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524524654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351524531389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524540385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351524600911
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1351524600932
